title,text,date,label
Silicon Valley blasts Senate proposal to tax startup options,"SAN FRANCISCO (Reuters) - A proposal by the U.S. Senate to change the way shares in startup companies are taxed incited panic and dread in Silicon Valley on Monday, with startup founders and investors warning of nothing less than the demise of their industry should the proposal become law. The provision in the Senate’s tax reform plan, which appeared to catch the industry by surprise, involves the treatment of employee stock options. These options give the holder the right to purchase shares in the future at a set price and can be very valuable if a company does well and the share price increases. Options are often a major portion of the compensation for  startup employees and founders, who take lower salaries in anticipation of a big payout if their startup takes off. Options typically vest over a four-year period. Senate Republicans have now proposed taxing those stock options as they vest and before startup employees have the opportunity to cash them in, resulting in annual tax bills that could easily climb into the tens of thousands of dollars, say startup founders and venture capitalists. “If there were a single piece of legislation to adversely affect startups, it would be this,” said Venky Ganesan, managing director at venture capital firm Menlo Ventures. “Everyone is freaked out.” Justin Field, vice president of government affairs at the National Venture Capital Association, said that the Senate’s proposed tax change would be “crippling” to the startup industry. How far the provision gets remains to be seen. The National Venture Capital Association was successful in getting a similar proposal removed from the House tax bill, although it “didn’t fully appreciate” the Senate’s intention to add the tax provision, Field said. The association also helped to steer lawmakers away from a proposal discussed late last year to tax venture capitalists’ profits on investments at a higher rate. Republican Senator Rob Portman of Ohio, a member of the Senate Committee on Finance, has filed an amendment to repeal the provision in the tax bill, according to his spokesman.  Under current tax code, employees are taxed only when they exercise their options. Options are exercised when the price they were granted at—known as the strike price—is lower than the share price, and some shares can then be sold to pay the taxes. But the Senate proposal would require startup employees to pay regular income tax on the value gain of their stock options even before they are exercised. These options are illiquid assets, and cannot be spent or saved. “What this would mean is every month, when your equity compensation vests a little bit, you will owe taxes on it even though you can’t do anything with that equity compensation,” Fred Wilson, a venture capitalist with Union Square Ventures, wrote on his blog Monday. For instance, if a startup employee receives stock options at a dollar per share, and the shares increase in value by $1 every year during the four-year vesting period, the employee would have to pay income tax on $1 per share after the first year, pay again on the $1 increase in value after the second year, and so on. When that employee owns hundreds of thousands and even millions of shares, that is a hefty bill to pay. And there is always the risk the startup will eventually fail. “This reform will force the average employee to pay taxes on that bet well before they even know if it’s a winning ticket,” said Amanda Kahlow, founder and executive chairman of marketing data startup 6sense. For startup founders in particular, such a tax bill could be ruinous.  “It would mean that I would have to sell the company,” said Shoaib Makani, founder and chief executive of long-haul trucking startup KeepTruckin. “I have zero net worth aside from the common stock I hold in the company. It would be impossible. I would be in default.” Some executives in the startup industry, however, have pushed for companies to move toward bigger salaries so employees are not so dependent on options to buy a house or pay for other large expenses. And when startups suffer valuation cuts, employees can end up with worthless options. The Senate’s proposal came as a revenue-generating measure to help offset tax breaks in the bill. A spokesman for Senator Orrin Hatch, a Republican and chairman of the Senate Committee on Finance, did not respond to requests for comment and other Republicans on the committee were not immediately available.  A spokeswoman for Senator Ron Wyden, the committee’s ranking member and a Democrat, said he was aware of concerns that the provision would limit startups’ ability to attract talent. ",14-Nov-17,True Report
 Expert Explains How Mike Pence Is The Worst Candidate For Women’s Rights There Has Ever Been (VIDEO),"Now that Indiana governor Mike Pence has officially been announced as Donald Trump s running mate, it s important to understand exactly who he is and what his stances on key issues are. Those who were expecting Trump to select a more moderate VP pick are going to learn really fast that Pence is anything but moderate.During a segment on MSNBC s AM Joy, an expert on Christian fundamentalism made it very clear that Pence is a dangerous right-wing radical, especially concerning his views on women s healthcare rights.The show s host, Joy Reid asked Sharlet what his thoughts on Pence are concerning the  nexus between evangelicalism and Republicanism in Washington. Sharlet answers, calling Pence a  broker  between the two. To understand Mike Pence and to understand that kind of religious conservative politics, you have to not think of social conservatism and fiscal conservatism as separate, but like Mike Pence say,  Our goal, our mission, is to marry fiscal and moral values.  He sees them as one in the same, so when you go back in his record and you look at his speeches about abortion, which are really something, Sharlet answered.  He is probably the most anti-abortion presidential or VP candidate we ve had. You see him also bringing in financial. He sees it if we don t stop abortion, our economy will collapse. So he s the guy who sort of stands in the middle between those two factions of the Republican Party. At that point, Reid brings up Pence s record regarding abortion, Planned Parenthood, and his failures as a leader during a recent HIV outbreak, saying: On abortion, he signed a law as Indiana governor banning abortions because of genetic anomalies, abortions that were unfortunate anomalies, and he also signed a law mandating, and this is weird, women who have a miscarriage or an abortion had to have a burial for the fetus and must cremate after a miscarriage or abortion. On LGBT rights, he signed a law allowing religious beliefs as a defense against discrimination in lawsuits, and then after a backlash, he s revised the law to exclude LGBT discrimination which got him in trouble with conservatives in Indiana. On prison, he reinstated a ten-year mandatory minimum drug sentencing,  said Reid.That s only a small sampling of what Sharlet and Reid had to say about Pence s record. It s very clear that the GOP has no interest in supporting even a faux-moderate candidate this election judging by the support he is receiving.The bottom line is that Pence is too dangerous to allow into office. Find out more on why by watching the segment below:https://youtu.be/-3aUzRornckFeatured image from video screenshot",16-Jul-16,False Report
Japan PM Abe says to discuss North Korea 'thoroughly' with Trump,"TOKYO (Reuters) - Japanese Prime Minister Shinzo Abe said on Monday he would discuss North Korea  thoroughly  with U.S. President Donald Trump when he visits next month, and reaffirm the two countries  commitment to working together in dealing with the country. Abe was speaking at a news conference after his ruling coalition scored a landslide victory in the lower house election on Sunday. ",23-Oct-17,True Report
 FINALLY: Two Members Of Bundy Militia Arrested,"For the last two weeks, armed domestic terrorists have been wreaking havoc on an Oregon town in a treasonous occupation of the Malheur Wildlife Refuge. They have been able to come and go freely, and no move by law enforcement, local or federal, was made to round up and arrest these criminals. That is, until Friday.Two of the militiamen made the mistake of using federal vehicles to go grocery shopping. That s what got them arrested, but not the occupation itself.first arrest made of #bundymilitia   two fed vehicles from compound were driven to Safeway. vehicles now impounded pic.twitter.com/RM94eKj2Uh  John Sepulvado (@JohnLGC) January 15, 2016This is the problem with the whole situation: What these people are doing is absolutely illegal, and they should most definitely be jailed for it. Instead, the authorities have let them play pretend Army for the last two weeks unimpeded. Instead of arresting them right away, instead they waited until they stole cars and charged them with that crime. And even then, it s only two members, when there are more than a hundred others there as well.This insurrection has cost the taxpayers an insane amount of money as well, as federal workers have been put on paid leave until the situation is resolved. The situation isn t any closer to any sort of peaceful resolution than it has been since its inception though; in fact, if anything, it is getting worse. Ammon Bundy and his hillbilly partners in crime are actually planning to completely ignore the government (like they aren t already), and instead set up their own laws on the occupied land. They also reportedly have plans to arrest the Harney County Sheriff. It has even been suggested that they should take on the FBI station that is keeping tabs on them.All of these fools need to be in jail. NOW. This has gone on long enough. They have disrupted the lives of every citizen in the area on an absolutely ridiculous level at this point, and the whole thing should have ended long ago.Featured image via YouTube screen capture",15-Jan-16,False Report
"Obama, Putin talk about Syria and Ukraine in quick summit meet","LIMA (Reuters) - U.S. President Barack Obama and his Russian counterpart Vladimir Putin spoke for around four minutes on Sunday at the APEC summit about Syria and Ukraine, in what is likely to be their last in-person meeting before Obama leaves office. The two men met at the start of the summit meeting in Lima, Peru’s capital. They exchanged pleasantries and remained standing as they spoke. Obama later said at a news conference he told Putin the U.S. is deeply concerned about bloodshed and chaos in Syria “sown by constant bombing attacks” by the Syrian and Russian militaries, and that a ceasefire and political transition were needed. “As usual I was candid and courteous but very clear about the strong differences we have on policy,” Obama said. Putin said at a separate news conference he thanked Obama during Sunday’s meeting in Lima “for the years of joint work”. “I told him that we would be happy to see him (Obama) in Russia anytime if he wants, can and has desire”, Putin said. Obama and Putin have had a challenging relationship. The U.S. president said last week he had warned Putin about consequences for cyber attacks attributed to Moscow that were seen as trying to influence the U.S. election.     Obama said he also urged President Putin to help implement the Minsk peace agreement by working with France, Germany, Ukraine and the United States to halt the conflict in Donbass region of Ukraine.  During his race for the White House, Republican President-elect Donald Trump praised Putin. Putin said on Sunday that Trump had confirmed to him that he was willing to mend ties. ",20-Nov-16,True Report
John McCain and The Cancer of Conflict,"Patrick Henningsen 21st Century WireThis week some devastating news befell John Sidney McCain III.On Wednesday, his staff announced that the US Senator had been diagnosed with a brain tumor called glioblastoma discovered during recent testing at the Mayo Clinic in Phoenix, Arizona.Since then warm wishes and tributes have been pouring in for the former Republican Presidential candidate. Both the US media and political establishment have closed ranks and are rallying around the Senator to help soften the blow.Putting previous feuds aside, President Donald Trump was magnanimous and cordial to the Arizona Senator, wishing him and his family the very best.  Melania and I send our thoughts and prayers to Senator McCain, Cindy, and their entire family,  said Trump.  Get well soon. Even former electoral rival President Barack Obama pitched in a little love for the 80 year old:John McCain is an American hero & one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John.  Barack Obama (@BarackObama) July 20, 2017Regarding McCain s diagnosis, we all can acknowledge the difficulties and risks involved with various cancer treatments, especially with brain cancer. Likewise, nearly everyone these days can attest to losing a friend, a loved one or family member to the disease.As with anyone suffering from this terrible condition, we wish the Senator well, along with a successful treatment and recovery.Still, McCain has a lot in his favor. Unlike most Americans, he will not have to worry about his medical care, and will be receiving the best cancer treatment money can buy, if not the best in the world, and with absolutely no expense spared. In this way, the Senator is extremely fortunate.And for those reasons, this is not an easy article to write. For fear of appearing too cruel in the face of his dramatic medical disclosure, one would be expected to suspend any political critique for now. Hence, the media has placed an unofficial moratorium on any negative coverage of McCain.That said, he is a special case.  As much as any political leader   he deserves to be panned, even under the present circumstances, because his geopolitical handiwork continues to cause havoc in certain corners of the world.Cancer Treatment in SyriaImmediately after McCain s major health announcement, the US mainstream media and Republicans began fretting over the prospect that his extended absence from the legislature might jeopardize his party s ability to pass legislation to repeal the Affordable Care Act (commonly known as Obamacare).With that in mind, maybe it s worth asking: how many innocent Syrians have been denied basic medical treatment, supplies and pharmaceuticals as a result of the harsh US-led regime economic sanctions imposed on Syria? This brutal campaign of collective punishment has been led by US Senator John McCain.Of course, the idea of sanctions as a form of economic warfare hardly registers in the West as being at all harmful to the population of Syria.  Sanctions? They re not against the people of Syria, only against Assad.   That s the general mainstream phantasm when it comes to sanctions, even though the official numbers show a vivid tale of devastation.One can only imagine how many among Syria s population of 20 million are no longer able to receive cancer treatment in Syria as a result of McCain s insistence on punitive sanctions. Before the conflict in Syria began in 2011, citizens were able to get free medical treatment including high-end state-of-the-art cancer treatment (consider that one simple aspect of this war, as men like John McCain still claim to be delivering  freedom  to the Syrian people by backing armed terrorist factions).Before the terrorist forces occupied the eastern part of the city, Aleppo was home to one of the Middle East s top cancer treatment centers, Al-Kindi Hospital. This is important because after McCain s secret trip to the Aleppo area in May 2013, the very same  rebels  he was cavorting with and supplying weapons to   the  Free Syrian Army  (under the command of Jabbat al Nusra aka al Qaeda in Syria) would later order the bombing on this cancer treatment hospital.Professor Tim Anderson explains the destruction of Al Kindi Hospital in December 2013, including the shameful spin applied after the fact by BBC and western mainstream media:In an Orwellian revision of events the BBC (21 December 2013) reported the destruction of Al-Kindi with the headline:  Syria rebels take back strategic hospital in Aleppo . The introduction claimed the  massive suicide lorry bomb  had managed  to seize back a strategic ruined hospital occupied by Assad loyalists.  Al-Kindi was said to have been  a disused building  and  according to an unconfirmed report, 35 rebels died in the attack . In fact, these  rebels  were a coalition of Free Syrian Army and Jabhat al Nusra, while the  Assad loyalists  were the staff and security guards of a large public hospital.Watch as McCain s  freedom fighters  in Syria drive a suicide truck bomb into the ground level of Al Kindi Cancer Treatment Center in Aleppo:https://www.youtube.com/watch?v=www.youtube.com/watch?v=KCwWgTUpGpE . How many Syrian lives were needlessly cut short as a direct result of that bombing carried out by McCain s own Free Syrian Army? For the cost of McCain s treatment at the world-famous Mayo Clinic, who knows how many Syrians could have received desperately needed treatment at Al Kindi or other similarly crippled facilities in Syria? One hundred, or possibly one thousand?Add to this, how many have died or suffer permanent health afflictions as a direct result of US economic sanctions which have crippled Syria s own National Health Service? One hundred thousand, or maybe five hundred thousand? One million? One day, those figures will be recorded and we will have the answer.The other piece of US legislation currently on the table which Republicans are desperate to pass is the $1-trillion US infrastructure spending package. Juxtapose that scene next to the systematic destruction of Syria s infrastructure by US Coalition and IDF airstrikes and destruction by proxy militant forces on the ground. Estimates for the cost to Syria range from $180 billion to $275 million. If the conflict continues past 2020, then these numbers could easily double.In spite of all this, John McCain claims to have no regrets about the damage that he and his fellow war hawks have inflicted on Syria.The Cancer of ConflictAt the same time that political figures like Barrack Obama dutifully respect the official Washington line on John McCain as the consummate  Vietnam War hero , very few in the establishment would dare to criticize the powerful Arizona Senator for his central role in engineering instability and violent conflict in foreign countries.John McCain sneaks into Syria illegally in May 2013 to meet with known terrorists, promising them weapons and regime change by way US bombs would drop in the Fall of 2013.. Americans should be reminded that more than any other single US official, John McCain has been the driving force behind the training and arming of violent jihadist and terrorists fighting groups in Syria, and that those same terrorists have slaughtered tens of thousands of innocent civilians including women and children in Syria and beyond   all sacrificed at the altar of a US-led geopolitical power play in the Middle East, and in the name of Israeli  security interests. Back in 2012, a delusional McCain, along with another dotty war enthusiast, Connecticut Senator Joe Liberman, insisted that the US needed to arm the  rebels  in Syria in order to  save lives.  Their statement read: The bloodshed must be stopped, and we should rule out no option that could help to save lives. We must consider, among other actions, providing opposition groups inside Syria, both political and military, with better means to organize their activities, to care for the wounded and find safe haven, to communicate securely, to defend themselves, and to fight back against Assad s forces. From the onset of hostilities in 2011, the bold-faced lie that McCain and partner Lindsey Graham have promulgated is that violent jihadists were nothing more than affable  moderate rebels.  That piece of Washington fiction has been widely discredited by now.Later on in 2015, McCain announced that the US should be supplying stinger missiles to the so-called  rebels  in Syria: We certainly did that in Afghanistan. After the Russians invaded Afghanistan, we provided them with surface-to-air capability. It d be nice to give people that we train and equip and send them to fight the ability to defend themselves. That s one of the fundamental principles of warfare as I understand it,  said McCain.Soon after that statement, thousands of US-made TOW Missiles were smuggled into Syria and used by terrorists groups under the command umbrella of Al Nusra.In her recent expos  for Trud Newspaper, Bulgarian journalist Dilyana Gaytandzhieva revealed the massive scale and scope of the illegal US-NATO weapons trafficking operation to arm thousands of terrorist fighters in Syria.Despite the overwhelming destruction in Syria and the abject failure of his policies, McCain has never given up on the policy of illegal weapons trafficking in Syria. Just this week, McCain, Chairman of the Senate Armed Services Committee, openly protested against the Trump Administration s latest announcement to bring an end to the CIA s failed program of illegally arming and training  anti-Assad  terrorists in Syria. Rather than admitting what everyone else in the world seems to know already   that the US  train and equip  program has been a debacle   instead he feigns defiance, while demonstrating a breathtaking level of ignorance by accusing the White House of being part of a Russian conspiracy: If these reports are true, the administration is playing right into the hands of Vladimir Putin.   Making any concession to Russia, absent a broader strategy for Syria, is irresponsible and short-sighted. When promoting their latest war, McCain is normally part of a tandem act, accompanied by his geomancing interest, South Carolina Senator Lindsey Graham, who arguably views the world through an even more deranged, albeit binary comic book prism: Breaking Syria apart from Iran could be as important to containing a nuclear Iran as sanctions. If the Syrian regime is replaced with another form of government that doesn t tie its future to the Iranians, the world is a better place. Like a world view gleaned straight from Ian Fleming s Goldfinger.In his seminal 2008 interview with McCain heading to the GOP presidential nomination, The Atlantic magazine s Jeffrey Goldberg asked,  What do you think motivates Iran? .  to which McCain replied: Hatred. I don t try to divine people s motives. I look at their actions and what they say. I don t pretend to be an expert on the state of their emotions. I do know what their nation s stated purpose is, I do know they continue in the development of nuclear weapons, and I know that they continue to support terrorists who are bent on the destruction of the state of Israel. You ll have to ask someone who engages in this psycho stuff to talk about their emotions. McCain s views on Iraq were even more disturbing, essentially surmising that the invasion and occupation was a good thing, and that we shouldn t have left because  leaving Iraq gave rise to al Qaeda.  OK. Admittedly, it s a bit counter intuitive, but it works for neoconservatives.These statements by McCain and Graham are not admissions made by normal well-adjusted individuals, but rather by cold, dark hearted sociopaths who generally view the lives of Arabs (along with Slavs, Russians and others) as necessary cannon fodder in the pursuit of military industrial profits for a select cadr  of transnational corporate  defense  contractors   whose interests Senator John McCain represents in his home state of Arizona; Boeing, Raytheon, Lockheed Martin, General Dynamics, and the list goes on, and on.The geopolitical hubris doesn t end there, as McCain still maintains   even after 6 years of absolute implosion of his own foreign policy agenda   that removing Syrian President Bashar al Assad from power is still a  key pillar  of the US strategy for Syria. The administration has yet to articulate its vision for Syria beyond the defeat of ISIL, let alone a comprehensive approach to the Middle East,  said McCain this week.The reality, of course, is that ISIL/ISIS could have been defeated already had the US-led  Coalition  and Israel not illegally intervened in Syria territory. Far from doing much to  defeat ISIS  since they have invaded Syrian airspace since 2014, the US has conveniently stretched-out the  ISIS problem  through the extension of its own self-styled international mandate which was originally intended to serve as a precursor to the eventual break-up of Syria into federal states and ethnic cantons. This might explain McCain s rush to enact regime change in Syria before lording over the eventual break-up of the sovereign nation-state.All Things RussianThe other country which McCain is determined break is Russia. Vladimir Putin is a murder and a KGB thug,  crowed McCain on CNN last year, as he protested against positive statements about Russia made by then candidate Trump.Suffice to say, he, along with the boards of Boeing, Raytheon, Lockheed Martin, are all extremely happy about NATO pressing right up against the Russian border in eastern Europe.But 2013 was indeed a busy year for the Senator stirring up trouble internationally. As part of his opening gambit against Moscow, it was McCain who was the driving force behind the US-backed coup d etat in Ukraine in February 2014   which ultimately led to a bloody civil war which continues to this day in the Ukraine. Apparently, this was McCain s way of  stopping Putin. His is a very dodgy track record; whether it s NeoNazis, or Jihadi Terrorists, McCain seems always ready to do a deal with the devil, and that s what makes him particularly dangerous.Below we can see McCain helping to whip-up Nazi-linked, neofascist street mobs in Kiev helping to bring the ensuing junta into power. Some mainstream US pundits have claimed that this never happened, and that it s just a conspiracy theory invented by  Russian propagandists  to discredit McCain. Unfortunately for them   it is true, and here is the photo to prove it:Senator John McCain (AZ) shares the stage in Kiev with far-right, NeoNazi Right Sector strongman, Oleg Tyhanbock, ahead of violent street protests in Ukraine in December of 2013, in advance of the US-backed coup.. Looking back at his erratic and flippant behavior, attacking nearly anyone who even suggested d tente with Russia or that supplying lethal arms to militants in Syria was a bad idea, it s no surprise that cognizant onlookers have questioned whether or not McCain is in a normal frame of mind.Frankly speaking, how could any one in their right mind be so consistently on the wrong side of every issue? How could any politician s judgement be that poor? Unless there was something else going on below the surface The questions didn t stop there. McCain s performance during a recent Senate Intelligence Committee Hearing on  Russian Influence in US Elections  was an embarrassment. Onlookers were stunned when McCain lost the plot during the hearing when asking former FBI Director James Comey: Well, at least in the minds of this member, there s a whole lot of questions remaining about what went on, particularly considering the fact that as you mentioned, it s a  big deal  as to what went on during the campaign, so I m glad you concluded that part of the investigation, but I think that the American people have a whole lot of questions out there, particularly since you just emphasized the role that Russia played. And obviously she was a candidate for president at the time. So she was clearly involved in this whole situation where fake news, as you just described it, is a big deal took place. You re going to have to help me out here. In other words, we re complete, the investigation of anything former Secretary Clinton had to do with the campaign is over and we don t have to worry about it anymore?  to which Comey replied: With respect to   I m a little confused. With respect to Secretary Clinton, we investigated a criminal investigation with her use of a personal email server. McCain then finished digging his own hole by responding: So at the same time you made the announcement there would be no further charges brought against then-Secretary Clinton for any activities involved in the Russia involvement and our engagement and our election. I don t quite understand how you can be done with that but not done with the whole investigation of their attempt to affect the out of come our election. It was clear McCain had no idea what was going on. At that point any reasonable person would have concluded that John McCain had in fact lost his mind   and was no longer fit to serve in public office.  In fact, 21WIRE made this very same case back in 2013 after McCain was caught playing video poker on his iPhone during a Senate Committee where lawmakers were debating the very war of which he is a chief architect. Here is the photo:As stunning displays of ignorance go, the video poker incident was one of McCain s greatest ever, and certainly should have been a warning to everyone that this man had no business making military decisions, let alone litigating war and peace between nuclear superpowers like the United States and Russia.Perhaps an announcement is forthcoming, but it s surprising after being diagnosed with brain cancer at 80 years old   why McCain has not yet announced his resignation from office?It s fair to say that while this Senator is being treated in the world s leading medical facilities, thousands of innocents will have died needlessly because of US sanctions and support for terrorists   all in the name of defense, energy and ever vast corporate profits. Strange as that might sound to some, for those who consider themselves members of a ruling elite and its mandarin management class, that is perfectly acceptable quid pro quo in 2017.After World War II, the military industrial complex and the international arms trade has spread conflict like a disease across the planet, metastasizing in ways, in places, and on a scale which no one could have previously imagined before. Undoubtedly, over the last decade, John McCain has played a key role in spreading that anguish. For the people of Syria, Afghanistan and the Ukraine, that will be his legacy, not the chimerical image of a  maverick  Senator or the  war hero. Once again, we implore the Senator to do the right thing by the American people and for those innocents around the world who have suffered at the hands of an arms industry whose interests John McCain represents Please, just retire.*** READ MORE MCCAIN NEWS AT: 21st Century Wire John McCain FilesSUPPORT 21WIRE  SUBSCRIBE & BECOME A MEMBER @ 21WIRE.TV",21-Jul-17,False Report
BREAKING: TRUMP Announces “Phenomenal” Tax Cut Plan For Businesses In Next 2-3 Weeks…Stock Markets Respond [VIDEO],"President Donald Trump said his administration would be announcing a  big league  tax cut that would lower the burden on businesses within the next two or three weeks.The revelation saw the Dow Jones industrial average rise around 115 points to a record, with Goldman Sachs contributing the most gains. Lowering the overall tax burden on American business is big league, that s coming along very well,  Trump said at the top of a White House meeting with airline industry executives Thursday.  We re way ahead of schedule, I believe. And we re going to be announcing something   I would say over the next two or three weeks   that will be phenomenal. The president s comment had an immediate effect on the value of the U.S. dollar against other currencies.The administration had gotten pushback a day earlier from conservative web site proprietor Matt Drudge, an influential media figure who Trump regularly lauded during the campaign. Republican party should be sued for fraud. NO discussion of tax cuts now. Just lots of crazy. Back to basics, guys!  Drudge tweeted, on a day filled with fallout from the Senate effort to silence liberal Massachusetts Senator Elizabeth Warren.Tax reform has also been a top priority for House Speaker Paul Ryan and others in the GOP congressional majority, which has been anxious to slash taxes and regulations now that it finally has an ally in the White House.Trump has pledged to cut the top corporate tax rate from 35 per cent to 15 per cent, but he offered no details on what his proposal might be. The value of the dollar against the Japanese yen jumped by 1 percentage point after the president s comments, Reuters reported. Airline stocks also spiked after the meeting. All three major market indexes jumped on news of the tax cut timetable.  Daily Mail ",9-Feb-17,False Report
Republican Senator Paul says he plans to vote for Senate tax bill,"WASHINGTON (Reuters) - Republican Senator Rand Paul, a fiscal hawk who has sometimes opposed his party’s spending plans, said on Monday he planned to vote for the U.S. Senate tax bill and urged his colleagues to do the same. Paul, writing in a Fox News online opinion piece, said that while the bill was not perfect and he would “prefer a larger cut,” he planned to support the measure because it achieved some of his goals, and he could push for more changes next year. “This tax bill is a true test for my colleagues,” wrote Paul, who represents Kentucky. “I’m not getting everything I want — far from it. But I’ve been immersed in this process. I’ve fought for and received major changes for the better — and I plan to vote for this bill as it stands right now.”  President Donald Trump, also a Republican, had set a goal of signing a sweeping tax overhaul into law before the end of 2017. About a half-dozen lawmakers have voiced concerns about provisions including a nearly $1.5 trillion addition to the federal deficit, the treatment of small businesses and the potential impact on health insurances costs for people with medical conditions.  Senate Republicans hope to pass their bill as early as Thursday. With only a 52-48 majority in the 100-seat Senate, and Democrats unlikely to vote for the measure, they can lose support from no more than two members of their own ranks.   With the clock ticking, Trump was set to meet top Senate Republican tax writers at the White House as the administration considered policy tweaks to make the bill more palatable to potential Republican holdouts.  ",27-Nov-17,True Report
U.S. Senate Judiciary chairman to call ex-Trump aide Manafort to testify,"WASHINGTON (Reuters) - U.S. Senate Judiciary Committee Chairman Chuck Grassley said on Wednesday he intends to call former Paul Manafort, former campaign manager for President Donald Trump’s 2016 presidential bid, to testify before the panel, an Iowa newspaper reported. Grassley, an Iowa Republican, said Manafort would be subpoenaed if necessary and could be questioned on anything including his presence in a June 2016 meeting in New York involving the president’s son, Donald Trump Jr., and a Russian lawyer, the Des Moines Register said. “We’re working very close on this and we’ve already agreed that we’re going to bring Manafort before our committee,” the paper quoted Grassley as saying in a call with reporters, describing his cooperation with Senator Dianne Feinstein, the ranking Democrat on the committee. ",12-Jul-17,True Report
 The Daily Show Slams Trump And Cruz In Hilarious Double Take-Down (VIDEO),"Trevor Noah and The Daily Show had a field day with the feud between Donald Trump and Ted Cruz in one of the funniest segments of 2016 thus far.Birtherism has come back to haunt the Tea Party in a big way as their favored candidate is now dealing with the fact that unlike President Obama, he really wasn t born in the United States. Donald Trump has been happy to point that out as Ted Cruz begins to gain in the polls. And this is comedy gold as far as Noah is concerned. The son of an American mother and a foreign father who graduated from Harvard Law School and dreamed of being president, even though   let s face it, people   he wasn t born in America. That s right, we re talking about Ted Cruz   the Canadian-born Texas senator. This even took Noah by surprise because he  didn t know that this shit could happen to Republicans, as well. Like I thought Republicans were the ones who do this, not the ones who get it done to them. This for me is like hearing that someone roofied Bill Cosby. Noah pointed out the way Trump worked the scandal into conversations and how he is particularly fond of using Twitter to launch attacks. But Noah did not let this be a one-sided scandal. In what could be fodder for Ted Cruz to use in a counterattack, Noah reminded the audience that Donald Trump wants to bang his daughter, which is true because he said he saw it on TV.Indeed, Noah did a segment last year chronicling all of the instances in which Trump has creepily talked about his daughter over the years. You can read all about it here.To conclude, Noah urged everyone to start using the hashtag #DonaldTrumpWantsToBangHisDaughter.Here s the video via Comedy Central.And the 2016 race just keeps getting more entertaining.Featured Image via Screenshot",8-Jan-16,False Report
"Trump, Abe didn't discuss bilateral FTA: Japan spokesman","TOKYO (Reuters) - U.S. President Donald Trump and Japanese Prime Minister Shinzo Abe did not discuss a bilateral free trade agreement (FTA) at their summit meeting on Monday, a senior Japanese government spokesman said. Japanese Deputy Chief Cabinet Secretary Yasutoshi Nishimura made the comment to reporters after the meeting between the two leaders. In recent economic dialogue between Japan and the United States, Tokyo has been pushing back against U.S. calls to open talks for a bilateral FTA. ",6-Nov-17,True Report
CNN REPORTER EMBARRASSES Himself With Idiotic Response After Former “Face The Nation” Host Praises Trump’s Saudi Arabia Speech [VIDEO],"Bob Schieffer is an old-school newsman. There s no doubt that the former Face the Nationhost leans left, but he is still capable of reporting, you know, the news. That is too much for denizens of the modern MSM to tolerate.On today s Reliable Sources on CNN, Schieffer reported the glaringly obvious truth: that President Trump gave a good speech in Saudi Arabia today. Guest host John Berman had to push back:  you know, Bob, though, that there will be people who look at that last comment you made and say you re normalizing the president. Schieffer gave the perfect response: he wasn t trying to normalize Trump, he was trying to do what reporters [are supposed to] do: report.Watch:",22-May-17,False Report
